sentence,year,label,pred_label
"Countries differ in this regard, both in formal mandate and in actual practice.12 As an extensive academic literature shows, however, the general approach of inflation targeting is fully consistent with any set of relative social weights on inflation and unemployment",2020,2,2
"The strength in corporate profits in the first quarter not only impressed economists, but it also impressed investors, who drove stock prices up earlier this year.",2001,2,2
"What I have elsewhere referred to as ""currency competition"" may be a driving force behind these changes in inflation outcomes and expectations and may be reflected in low nominal long-term interest rates and the flattening of yield curves.5 Iâ€™d like to briefly review what I mean by currency competition.",2022,0,0
"As a result, national saving increased, providing further impetus to economic growth.",2004,0,0
"The guidance on asset purchases, introduced in December, commits us to increasing our holdings of securities at least at the current pace until substantial further progress has been made toward the Committee's maximum-employment and price-stability goals.",1997,0,1
"A considerable literature suggests that successful monetary policies should stabilize, or ""anchor,"" inflation expectations so as to prevent them from becoming a source of instability in their own right (Goodfriend, 1993; Evans and Honkapohja, 2003).",1997,1,0
"Because inflation expectations are now more firmly tied down, surges and declines in energy prices do not significantly affect core inflation and thus do not force a policy response to inflation to the extent they did three decades ago.",2003,0,1
"Mortgage rates, corporate bond rates, and other yields and asset prices moved in sympathy, with important effects on the cost of borrowing and hence, presumably, on aggregate demand.",2021,1,2
"Returns on indexed bonds are tied to forecasts of specific published price indexes, which may or may not reflect the market's judgment of the future purchasing power of money.",2020,2,2
"To anticipate a bubble about to burst requires the forecast of a plunge in the prices of assets previously set by the judgments of millions of investors, many of whom are highly knowledgeable about the prospects for the specific companies that make up our broad stock price indexes.",2022,2,1
"Moreover, investing in EMEs has become more attractive as many EMEs have improved their macroeconomic policies and institutional frameworks over recent decades; growth differentials may partly be reflecting these improvements.",2006,2,0
"We also expect it will be appropriate to maintain the current target range for the federal funds rate at 0 to 1/4 percent until labor market conditions have reached levels consistent with the Committee's assessments of maximum employment, until inflation has risen to 2 percent, and until inflation is on track to moderately exceed 2 percent for some time.",2019,0,1
"In my baseline view, while I do believe it will likely take some time for economic activity and the labor market to fully recover from the pandemic shock, I do project right now that the economy will begin to grow and that the unemployment rate will begin to decline starting in the second half of this year.",1999,0,0
"Vice Chair Richard H. Clarida At the 2020 U.S. Monetary Policy Forum, sponsored by the Initiative on Global Markets at the University of Chicago Booth School of Business, New York, New York Share Thank you to the conference organizers for inviting me here to discuss what former Chair Bernanke has famously referred to as a ""hall of mirrors"" problem: a situation in which a central bank's reaction function and financial market prices interact in economically suboptimal and potentially destabilizing ways.1 In my remarks today, I will lay out the way I think about the interplay between financial markets and monetary policy, with a focus on how I myself seek to integrate noisy but often correlated signals about the economy that I glean from models, surveys, and financial markets.2 Three Observations I begin with three unobjectionable observations.",2019,2,2
His conclusion is that only by far-reaching decentralization in a market system with competition and free price-fixing is it possible to make full use of knowledge and information.,2021,2,2
The Committee took these actions to provide a somewhat more accommodative policy in response to muted inflation pressures and the risks to the outlook I mentioned earlier.,2005,0,2
"While a constant rate of money growth will not always be optimal, if money demand is sufficiently stable, and not particularly interest sensitive, it will pin down inflation in the long run and help smooth the business cycle in the short run.",1999,0,1
"The Fed is not authorized to grant money to particular beneficiaries, to meet the payroll expenses of small businesses, or to underwrite the unemployment benefits of displaced workers.",2003,2,2
"With respect to inflation, the netting of the crosscurrents suggests a modest increase in inflation in 1998, albeit from a steadily downward-revised and very low rate in 1997.",2005,1,0
"This allows the economy to operate at a higher utilization rate without inflationary consequences, at least until the higher productivity is fully anticipated in wage bargaining or until productivity growth stops accelerating.",2021,2,0
"Still, if aggregate demand and potential aggregate supply follow the paths that I outlined earlier, the slack in resource utilization should diminish, unit labor costs should begin to move higher, and the underlying rate of inflation should stabilize.",2006,2,0
"In particular, the unemployment rates in the metropolitan areas of South Dakota have consistently been lower than in rural areas, and this relative abundance of job opportunities has tended to encourage migration to areas such as Sioux Falls.",2021,2,0
"May 26, 2021 The Economic Outlook and Monetary Policy Vice Chair for Supervision Randal K. Quarles At the Hutchins Center on Fiscal and Monetary Policy, The Brookings Institution, Washington, D.C. (via webcast) Share Watch Live Thank you, David, and thank you to Brookings and the Hutchins Center for the opportunity to lead things off and be part of this very distinguished panel.",2017,2,2
