sentence,year,label,pred_label
"Now, with inflation below 2 percent, I think it’s appropriate that the labor market be that tight.",2021,0,0
"Well, you’re certainly right that we have been over-optimistic about out-year growth.",2022,1,2
The unemployment rate was 3.5 percent in February and has been at or near half-century lows for almost two years.,2015,2,0
"So you’re right, you’re seeing—I, I can’t remember the number, but it might be in the 3s—3, 3½ percent growth for next year.",2019,2,2
"Again, that’s not a forecast, I’ve made a hypothesis, which would imply slower improvement in unemployment.",2019,0,0
And we’d like to see that in the form of a series of declining monthly inflation readings—that’s what we’re looking for.,2017,1,2
"When, when you get to—in, in the forecast, all of that, you know, supply and demand sides of the economy adapt.",2019,2,2
Wage inflation has been running at 2 percent.,2021,2,2
"Of course, we’re ready to provide information that Congress needs to evaluate the Fed’s decisionmaking, in monetary policy and elsewhere.",2021,2,2
"We also said we wouldn’t raise rates just in response to very low unemployment, in the absence of inflation.",2020,0,0
An unexpectedly sharp increase in wages or inflation could tell you that you’re reaching those points.,2018,1,1
So that means a more prolonged shortfall of inflation.,2019,2,0
"And so when asset prices went back up, probably there’ll be a swing around there, a positive contribution.",2020,2,2
"So, there has been impact through lower interest rates, but I think more broadly is the indirect effects.",2014,0,0
"And what it is is, it’s an expression of the thinking about individual Committee members about appropriate monetary policy and the path of the economy.",2022,2,2
And productivity’s been very low.,2020,1,1
"Wage growth is not—there are many factors that affect it—it’s not definitive in any sense in determining our policy, but it does have a bearing on the inflation outlook.",2021,2,2
"We’re not seeing evidence in labor markets of very substantial upward pressures on labor that could signify extreme shortages of labor that could propel inflation higher in a very rapid way, and inflation is still operating below our objective.",2022,0,0
"You know, it says that we will seek to—seek inflation that runs moderately above 2 percent for some time.",2019,0,2
The shock that the—from the pandemic was unprecedented both in its nature and in its size and in the amount of unemployment that it created and in the shock to economic activity.,2012,0,2
"And in so far as that will affect monetary policy, of course we will have to factor those policies along with many other things, including the global environment and oil prices and other matters.",2013,2,2
"But in many countries around the Chair Yellen’s Press Conference FINAL world that are important commodity exporters, the decline we’ve seen in oil prices has had a depressing effect on their growth, their trade with us and other trade partners, and caused problems that have had spillovers to the global economy as well.",2018,0,0
So it’s a double whammy coming from higher gasoline prices.,2016,1,1
"I guess I would also urge you to remember that when you look at the projections, that there are many factors that affect those projections, and changes in tax policy—that’s only one of a number of factors, including incoming data that has, to some extent, altered the outlook for growth and inflation.",2019,2,2
"And it’s natural that if it can be employed that, just as monetary policy is doing a lot to try to June 15, 2016 stimulate growth, that fiscal policy should play a role.",2020,0,2
"And the maximum level of employment that’s consistent with price stability evolves over time within a—within a business cycle and over a longer period, in part reflecting [the] evolution of the factors that affect labor supply, including those related to the pandemic.",2022,2,2
"We understand that inflation dynamics evolve constantly over time, but they don’t change rapidly.",2019,2,1
"And inflation is moving—moving up, I think, toward our 2 percent objective.",2020,0,2
"I think we all agree that the economy is making progress, that we are close to an unemployment rate that is one that’s sustainable in the longer run.",2015,1,2
"So you have seen a shift this time in most participants’ assessments of the appropriate path for policy, and, as I tried to indicate, I think that largely reflects a somewhat slower projected path for global growth—for growth in the global economy outside the United States—and for some tightening in credit conditions in the form of an increase in spreads.",2019,0,0
"Our mandate, sorry, is price inflation.",2021,1,2
"Moreover, in light of the anticipated modest pace of economic recovery, the Committee expects that over coming quarters the unemployment rate will decline only gradually toward its mandate-consistent levels.",2014,0,0
"On the other hand, by that metric, the, the September 16, 2020 unemployment rate would have been in the—in the 20s in, in April.",2021,2,2
So we do say that risks to the financial system—we say in our longer-run statement of goals and monetary policy strategy that risks to the financial system that could prevent us from achieving our goals are something that we do take into consideration.,2021,2,2
It was the year of synchronized global growth.,2021,2,2
"We heard anecdotes today in the meeting about firms that might be government contractors that were, you know, not sure about whether the contracts would still be in place come January and making employment decisions based on that.",2019,2,2
"At the time of our FOMC meeting in January, prospects for continued economic growth remained favorable, and we judged that monetary policy was well positioned to support that outlook.",2017,0,2
So unemployment has tended to go up much faster for minorities and for others who are—tend to be at the low end of the income spectrum.,2021,0,0
"For example, we have used some of our work to look at interest rate risk and interest rate sensitivity and, you know, found generally that banks can also sustain a significant increase in long-term interest rates as well for a number of reasons, one of them being that higher interest rates increase their franchise value because it increases their net interest margin over time.",2021,2,1
"But that has not—what, what happens is that when wages move up because unemployment is low, companies have been absorbing that increase into their margins rather than raising prices.",2020,2,0
"Well, if the economy worsens and inflation remains relatively low, then we wouldn’t begin to exit, and, therefore, we wouldn’t change the language.",2020,0,0
"What they have had is low unemployment, lots of social problems.",2017,2,0
"Everyone, particularly people on fixed incomes, and at the lower part of the income distribution are better off with stable prices.",2021,2,0
"I would say, in the area of commercial real estate, while valuations are high, we are seeing some tightening of lending standards and less debt growth associated with that rise in commercial real estate prices.",2016,1,0
"Inflation has moved up in recent months, mainly reflecting higher prices for some commodities and imported goods.",2012,1,1
The American economy is very strong and well positioned to handle tighter monetary policy.,2016,1,0
And so you’re seeing prices are moving back up off their lows there.,2020,1,0
So negative interest rates is something that we looked at during the financial crisis and chose not to do.,2019,2,2
Long-term unemployment in the current economy is—is the worst—really the worst it’s been in the postwar period.,2012,0,2
"The second point that I made was that when short-term interest rates hit zero, the tools of a central bank are no longer—are not exhausted, there are still other things that the central bank can do to create additional accommodation.",2012,0,2
"In spite of having such slow growth, disappointing productivity growth, we have a labor market that last year generated an average of about 230,000 jobs a month and so far this year has been generating about 180,000 jobs a month.",2013,1,1
The Federal Reserve is fully committed to both sides of its mandate—to price stability as well as to maximum employment—and it has both the tools and the will to act at the appropriate time to avoid any emerging threat to price stability.,2020,1,2
"And, as I went into detail in Jackson Hole and won’t repeat all of that there, there are other ways in which we see underutilization—high levels that have come down only very marginally of part-time employment for economic—or involuntary part-time employment, perhaps some remaining shortfall of labor force participation as a result of cyclical factors.",2015,2,0
"So, we are taking account of international developments, including prospects for growth in our trade partners, in making the forecast we have here.",2014,2,2
We also do see the different measures of slack in the labor market point to different assessments of just what maximum employment is.,2021,2,2
"But, really, it isn’t monetary policy.",2022,2,2
"In other cases, it’s pretty clear that inflation has spread more broadly across services.",2013,1,2
"The Federal Reserve’s response is guided by our mandate to promote maximum employment and stable prices for the American people, along with our responsibilities to promote the stability of the financial system.",2020,1,0
"In any case, we, our job is to deliver price stability, and I think—you can think of price stability as an asset that just delivers large benefits to society over a long period of time.",2022,1,2
"As I mentioned, monetary policy operates with lags, so, the policies we have in place, we think, will gradually—only gradually—move inflation back to 2 percent.",2018,1,2
"And as I mentioned earlier, the unemployment decline last month was more than 100 percent accounted for by declines in participation.",2019,0,0
