sentence,year,label,pred_label
"Going forward, consumer outlays were expected to be supported by further advances in employment and income.",2010,1,2
"When the Committee decides to begin to remove policy accommodation, it will take a balanced approach consistent with its longer-run goals of maximum employment and inflation of 2 percent. """,2009,1,2
Several participants noted the increase in agricultural crop prices over 2020 and the associated improvement in farm revenues.,2017,2,1
"However, core inflation had been subdued in recent months and longer-run inflation expectations remained contained.",1998,0,0
"Policy tightening started last year, as emerging markets including Mexico and Brazil increased rates substantially amid expectations of accelerating inflation.",2002,1,0
"But it could be that if interest rates rise quickly, for example, that we would be in a situation of not giving remittances to the Treasury for a couple of years, and that would create problems, no doubt, for the Fed in terms of congressional response.",2018,2,1
"And, in particular, I do personally believe that the slowdown is at least partly temporary, and that we’ll see greater growth going forward.",2011,0,1
Prospects for ProductivityLet me close with some comments on the outlook for productivity.,2000,2,2
That is why foreign trade deficits are typically thought of as self-correcting.,2002,2,2
"The staff raised slightly its projection for inflation during the second half of this year, as the upward pressure on consumer prices from earlier increases in import and commodity prices was expected to persist a little longer than previously anticipated.",1997,1,1
Monetary policy has an ambiguous effect on trade imbalances.,1997,2,2
"So that’s in the low 20s, and that’s post the May employment report.",2013,2,0
Price shocks.,2005,2,2
"Al­though core inflation and the 12-month trimmed mean PCE inflation rate calculated by the Federal Reserve Bank of Dallas remained a little below 2 percent, many participants anticipated that high levels of resource utilization and stable inflation expectations would keep overall inflation near 2 percent over the medium term.",2017,2,0
"A few participants judged that while the labor market was close to full employment, some margins of slack remained; these participants pointed to the employment-to-population ratio or the labor force participation rate for prime-age workers, which remained below pre-recession levels, as well as the absence to date of clear signs of a pickup in aggregate wage growth.",2020,2,0
"Inflation is much too high, and I strongly believe that bringing inflation back to our target is a necessary condition for meeting the goals mandated by Congress of price stability and maximum employment on a sustainable basis.",2005,1,1
"We also expect it will be appropriate to maintain the current target range for the federal funds rate at 0 to 1/4 percent until labor market conditions have reached levels consistent with the Committee's assessments of maximum employment, until inflation has risen to 2 percent, and until inflation is on track to moderately exceed 2 percent for some time.",2019,0,1
"On the supply side, the effect is fairly clear and immediate: An increase in trend productivity growth implies a more rapid pace of growth of the economy's productive capacity.",2017,1,0
Most participants continued to see the risks to inflation as balanced.,2007,2,2
"It was observed that, after the early 1980s, the pass-through of energy prices into core inflation had been quite limited, suggesting that, in current circumstances, core inflation could stay relatively low and overall inflation would probably drop back if inflation expectations remained contained.",2021,2,0
Mishkin and Jonas (forthcoming) describe the experiences of the three transition economies with inflation targets.,2020,2,2
